taxa,order,PC1,PC2,PC3,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S00606,80,-59.31267,11.513552,-11.592187,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00607,81,-48.22191,8.51345,-7.028522,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00608,82,-57.515057,9.357865,-4.322861,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00609,83,-19.569256,4.522963,-7.005431,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060A,84,-57.953926,14.712596,-16.137201,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060C,85,-55.027126,9.014758,-7.564547,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060E,86,-49.618378,5.311675,-1.5464039,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060F,87,-36.906273,3.7545185,0.42765146,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060H,88,-58.679413,12.949845,-13.607586,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060J,89,-59.20023,16.160635,-14.917002,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060L,90,-57.766193,9.925495,-6.906797,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
W4.14,91,-44.18146,7.532773,-3.0867693,NA,NA,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005QF,92,38.835827,-11.018718,-9.711678,36.12867,-91.1576,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QN,93,29.002405,-10.529826,-3.29581,41.53954,-94.1562387,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QP,94,21.483044,-12.64353,-2.6562514,36.69925,-95.5084,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005QT,95,-19.798971,-31.70861,-6.1933365,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005QW,96,17.443989,7.0807085,11.098548,33.51464,-89.1322,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QX,97,37.351345,-19.41821,-1.9557971,33.51464,-89.1322,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QY,98,-43.582382,-0.53208125,-8.099008,36.86197,-96.4204,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RA,99,25.46683,-13.797939,-13.3411875,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RC,100,38.495438,-15.065209,-14.994655,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RK,101,25.746239,-18.038977,3.444043,34.94511,-90.0169,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RL,102,-43.888927,-8.5884,-6.995652,36.72808,-95.8743,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RM,103,36.60601,-8.950679,-1.9025524,42.54858,-91.7571799,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RN,104,39.919743,-12.408476,-16.196249,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RQ,105,3.0029757,-28.244806,12.039679,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005RU,106,46.596134,16.897211,9.475411,43.55811,-89.6843,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005RV,107,42.007996,16.367765,9.199658,43.56176,-89.6557,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005RY,108,-23.8472,-40.032875,-8.060203,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T1,109,3.191125,-30.194456,10.572818,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T4,110,37.2416,-18.416708,-12.364206,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T9,111,-23.715475,-35.71581,-8.075138,35.26906,-95.922,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TA,112,-23.04497,-34.467518,-8.251231,35.26906,-95.922,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TC,113,32.85794,-14.7757,-8.636119,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TE,114,-26.422132,-36.02022,-9.061981,35.54856,-95.9514,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TJ,115,-49.842834,-3.8283699,-7.6153564,36.84464,-96.4273,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TN,116,25.404226,-10.171813,0.37182114,41.04884,-94.1002177,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TU,117,36.344963,-13.512654,-3.6644392,36.27336,-91.3548,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TY,118,38.86938,-6.6728625,-11.633722,40.60216,-92.8004332,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U2,119,36.945953,12.99617,7.6575885,42.20144,-89.1731,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U3,120,9.417628,-52.8159,79.55732,42.20144,-89.1731,IL,east,east,s_perfoliatum,east,east,s_perfoliatum,wild_collection
S005U4,121,25.423859,-12.28378,-0.6118208,37.91557,-93.9818,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U7,122,35.246384,-12.500712,-7.53908,40.93512,-92.8024906,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U9,123,41.834927,-7.5427,-15.302532,40.86305,-92.8968331,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UA,124,46.718292,17.621208,5.6782703,37.96318,-94.705,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UF,125,24.784803,-22.259836,2.4166186,37.91737,-94.0036,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UK,126,-13.77817,-34.51537,4.1626806,30.55917,-96.2375,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UM,127,-17.501417,-38.283913,3.9929783,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UN,128,-13.821751,-31.65155,-0.19537678,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005V3,129,-56.11876,9.36475,-8.28641,41.62292,-97.9353,NE,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005V6,130,-5.4236946,3.564454,-5.894188,41.49604,-94.0608076,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
