taxa,order,lat,long,state,K2,K3,species,K2_ext,K3_ext,K3_ext_species,wild_vs_breeding
S005XK,31,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XL,32,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XM,33,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XN,34,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XP,35,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XQ,36,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XR,37,40.46103,-87.9242,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E1.87,38,N_A,N_A,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
E2.63,39,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
E2.64,40,N_A,N_A,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XU,41,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XV,42,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005XW,43,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E2.81,44,N_A,N_A,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005XY,45,40.44508,-88.0973,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
E3.16,46,N_A,N_A,IL,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005Y1,47,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y2,48,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y4,49,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y5,50,40.52732,-88.0765,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y6,51,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y7,52,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y8,53,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005Y9,54,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YA,55,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YC,56,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005YE,57,40.7467,-88.6143,IL,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005YF,58,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YH,59,N_A,N_A,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YJ,60,N_A,N_A,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YK,61,N_A,N_A,elite_genet,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,breeding
S005YL,62,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YM,63,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YN,64,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YP,65,N_A,N_A,N_A,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005YQ,66,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YR,67,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YT,68,38.95086,-98.151,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YU,69,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YV,70,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YW,71,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YX,72,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005YY,73,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00600,74,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00601,75,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00602,76,39.06678,-98.5651,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00603,77,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00604,78,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00605,79,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00606,80,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00607,81,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00608,82,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S00609,83,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060A,84,39.40158,-99.2865,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060C,85,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060E,86,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060F,87,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060H,88,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060J,89,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S0060L,90,38.69626,-97.6129,KS,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
W4.14,91,N_A,N_A,KS,N_A,N_A,s_integrifolium,N_A,N_A,s_integrifolium_NA,wild_collection
S005QF,92,36.12867,-91.1576,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QN,93,41.53954,-94.1562387,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QP,94,36.69925,-95.5084,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005QT,95,33.69922,-95.6473,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005QW,96,33.51464,-89.1322,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QX,97,33.51464,-89.1322,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005QY,98,36.86197,-96.4204,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RA,99,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RC,100,41.25269,-94.9856,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RK,101,34.94511,-90.0169,MS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RL,102,36.72808,-95.8743,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RM,103,42.54858,-91.7571799,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005RN,104,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005RQ,105,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005RU,106,43.55811,-89.6843,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005RV,107,43.56176,-89.6557,WI,east,northeast,s_integrifolium,east,northeast,s_integrifolium_northeast,wild_collection
S005RY,108,35.26778,-95.8253,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T1,109,34.77003,-94.6445,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005T4,110,37.29903,-94.4164,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005T9,111,35.26906,-95.922,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TA,112,35.26906,-95.922,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TC,113,36.66453,-95.3068,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TE,114,35.54856,-95.9514,OK,west,west,s_radula,west,west,s_radula,wild_collection
S005TJ,115,36.84464,-96.4273,OK,west,west,s_integrifolium,west,west,s_integrifolium_west,wild_collection
S005TN,116,41.04884,-94.1002177,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TU,117,36.27336,-91.3548,AR,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005TY,118,40.60216,-92.8004332,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U2,119,42.20144,-89.1731,IL,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U3,120,42.20144,-89.1731,IL,east,east,s_perfoliatum,east,east,s_perfoliatum,wild_collection
S005U4,121,37.91557,-93.9818,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U7,122,40.93512,-92.8024906,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005U9,123,40.86305,-92.8968331,IA,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UA,124,37.96318,-94.705,KS,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UF,125,37.91737,-94.0036,MO,east,east,s_integrifolium,east,east,s_integrifolium_east,wild_collection
S005UK,126,30.55917,-96.2375,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UM,127,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
S005UN,128,30.54,-96.04027778,TX,N_A,N_A,s_radula,N_A,N_A,s_radula,wild_collection
