Taxa	ray_floret_count_al25	ray_floret_count_comb	ray_floret_count_ks24	ray_floret_count_ks25
S00601	NA	22.50345391	NA	25.06257486
S00602	NA	NA	NA	NA
S00603	16.5	17.77893843	21.5	19.72481167
S00604	21.66666667	19.55368508	27.97024601	15.48444843
S00605	24.66666667	22.30709193	21.02975399	24.29874568
S00606	22	17.91920396	NA	16.65097883
S00607	NA	16.41791818	NA	18.98444843
S00608	24	21.53159624	21.02975399	23.20984509
S00609	21	23.5073654	29.02975399	26.27865041
S0060A	22.5	21.54013429	25	21.60987633
S0060C	26.5	25.43433413	20.02975399	27.17331778
S0060E	23	21.05596304	NA	22.16260107
S0060F	19.33333333	21.48626328	23.5	25.91772149
S0060H	36.5	39.21504706	44.02975399	43.28406069
S0060J	28.5	29.50774682	33.5	31.09528916
S0060K	25.5	25.41418922	NA	28.16658856
S0060L	25	28.40744095	NA	33.81446724
S0060M	34.875	33.99748086	29.02975399	46.25373743
S0060N	28.5	35.46398416	39.6175615	42.18066557
S0060Q	17	18.6068609	NA	NA
S0060R	55	52.81682897	NA	53.06257486
S0060V	32	32.34951078	35.235123	34.35493483
S0060W	29	28.57802065	NA	NA
S0060X	19	24.49198	30.32341534	26.2878097
S0060Y	NA	24.11542395	25.47024601	26.64844225
S00610	23	21.26305397	18.97024601	25.71385413
S00611	42	49.94952652	57.25	55.38023172
S00612	14.33333333	18.47527995	28.02975399	NA
S00613	27	26.60240017	NA	NA
S00614	31.5	34.77016793	39.02975399	40.28406069
S00615	27	25.70242849	26.5	28.81446724
S00616	30.66666667	29.64386895	31.02975399	31.93149905
S00617	NA	25.43656495	24.97024601	30.02797726
S00618	31	30.30435629	NA	NA
S0061A	20.5	20.03514301	NA	NA
S0061C	25.5	29.58922807	38.02975399	30.8983443
S0061E	23	20.11681591	15.97024601	23.15338436
S0061F	28	40.03975253	38.02975399	53.4113398
S0061H	31.5	30.88097316	30	35.5278668
S0061J	12.5	12.16158152	12	14.0278668
S0061K	55.5	48.49691395	35.02975399	52.16260107
S0061L	44	37.50801027	35.5	36.3448738
S0061M	44.5	37.26066747	45.02975399	47.40678995
S0061N	36.5	30.27507914	32	19.02797726
S0061Q	15	13.84217224	14.67658466	15.7048782
S0061R	14	12.26217113	13.5	14.01974644
S0061T	19	14.57748667	12.02975399	NA
S0061U	13.5	17.33261068	17	29.01974644
S0061V	12.5	11.46894251	13	13.17170077
S0061W	38	42.76631133	43	66.33536264
S0061X	31	27.52501306	NA	30.31446724
S0061Y	19	16.29563831	NA	15.61258797
S00620	19	15.49398385	14	17.83536264
S00621	35.5	34.94189194	38.02975399	35.9156431
S00622	NA	13.57638844	14	17.04107101
S00626	15	14.81872917	15.5	17.81446724
S00627	NA	10.52238977	12	NA
S00628	17.5	17.90376193	19	20.02386185
S00629	13	13.96728017	9.970246008	NA
S0062A	NA	13.26896349	13.65674867	18.02797726
S0062C	52	42.30131032	55.5	36.02797726
S0062E	56	52.58591327	56	51.27865041
S0062F	39	40.47570595	34.5	52.72481167
S0062H	27	17.92937849	13.97024601	14.5278668
S0062J	20	19.66087168	23.5	26.02386185
S0062K	NA	10.54486068	11.97024601	NA
S0062L	20	15.90964105	16	17.6255979
S0062M	19.5	17.92787973	17	22.17170077
S0062P	29	30.18036277	34.02975399	47.6255979
S0062Q	46	62.31942808	79.5	65.83536264
S0062R	36.5	37.28925305	39.02975399	46.98444843
S0062T	40	29.39489219	29.5	42.24256572
S0062U	32.125	29.04282841	28.5	31.1066761
S0062V	25	22.40767583	21.5	25.66658856
S0064C	18	14.08566224	NA	NA
